OBJECTID,Place,תאריך,שעות שהייה,x,y
1939997,K Bar - תל אביב יפו,18/7/2020,מ 2020-07-19 00:00 עד 2020-07-19 01:00,34.76978010000005,32.063361100000066
1939998,יוחננוף חדרה - חדרה,24/7/2020,מ 2020-07-24 11:00 עד 2020-07-24 12:30,34.894924400000036,32.440778900000055
1939999,מזכירות ברוכין,19/7/2020,מ 2020-07-19 16:00 עד 2020-07-19 16:15,35.09243890000005,32.082069500000046
1940000,מרכז קהילתי צהלה - תל אביב יפו,22/7/2020,מ 2020-07-22 16:00 עד 2020-07-22 18:15,34.83183070000007,32.12487200000004
1940001,מלון ישרוטל לגונה - אילת,19/7/2020,מ 2020-07-19 15:00 עד 2020-07-23 12:00,34.96179580000006,29.55132290000006
1940002,כללית דקלה - אשקלון,21/7/2020,מ 2020-07-21 17:00 עד 2020-07-21 18:00,34.585905000000025,31.675907000000052
1940003,טרם - אשקלון,23/7/2020,מ 2020-07-23 22:00 עד 2020-07-23 23:00,34.585885500000074,31.663356600000043
1940004,קניון הזהב - ראשון לציון,19/7/2020,מ 2020-07-19 13:00 עד 2020-07-19 15:30,34.77424200000007,31.991392500000075
1940005,"טרכטנברג 18, ראשון לציון",19/7/2020,מ 2020-07-19 19:00 עד 2020-07-19 19:30,34.80202540000005,31.971717900000044
1940006,"מתנ""ס קלנסווה - קלנסווה",21/7/2020,מ 2020-07-21 18:00 עד 2020-07-21 22:00,34.97888890000007,32.27972220000004
1940007,היכל בית המשפט - נוף הגליל,19/7/2020,מ 2020-07-19 11:00 עד 2020-07-19 12:00,35.30916580000007,32.70055600000006
1940008,קניון עופר רחובות - רחובות,20/7/2020,מ 2020-07-20 11:00 עד 2020-07-20 11:15,34.80682420000005,31.89330680000006
1940009,"עמק ברכה 25, תל אביב יפו",20/7/2020,מ 2020-07-20 10:30 עד 2020-07-20 11:00,34.79895870000007,32.07630800000004
1940010,Selas - אור גינסברג מארח (סלאס) - תל אביב יפו,21/7/2020,מ 2020-07-21 20:30 עד 2020-07-21 23:00,34.755107200000054,32.053232500000036
1940011,"רבי עקיבא 30, מודיעין עילית",22/7/2020,מ 2020-07-22 08:30 עד 2020-07-22 09:00,35.044883500000026,31.94004090000004
1940012,"רבי יהודה הנשיא 37, מודיעין עילית",22/7/2020,מ 2020-07-22 10:00 עד 2020-07-22 13:00,35.04537800000003,31.93912670000003
1940013,"רבי שמעון בר יוחאי 23, מודיעין עילית",22/7/2020,מ 2020-07-22 16:00 עד 2020-07-22 18:30,35.04226500000004,31.93772510000008
1940014,"רבי עקיבא 30, מודיעין עילית",21/7/2020,מ 2020-07-21 08:30 עד 2020-07-21 09:00,35.044883500000026,31.94004090000004
